,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
157,CA,Santa Rosa,5.808388648090815,19,6.671,2,4.98776,5,5.43536,5,7.35156862745098,4,5.165169934640523,3,6.601000000000001,6.741,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.821,4.4,6.274509803921569
86,CA,Stockton,5.656020227038184,19,5.2605,2,4.98776,5,5.43536,5,7.35156862745098,4,5.140503267973856,3,5.622,4.899,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.747,4.4,6.274509803921569
173,CA,Vallejo,5.7397570691434465,19,6.056,2,4.98776,5,5.43536,5,7.35156862745098,4,5.140503267973856,3,5.622,6.49,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.747,4.4,6.274509803921569
225,CA,Visalia,5.572599174406605,19,4.468,2,4.98776,5,5.43536,5,7.35156862745098,4,5.140503267973856,3,5.622,3.314,2.56,5.558400000000001,5.3544,5.5760000000000005,5.89,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.747,4.4,6.274509803921569
6,CO,,4.817354594662746,16,5.5,1,4.0698,4,4.34912,5,7.142139947278432,4,2.492156862745098,2,,5.5,0.8,5.9368,5.3584000000000005,4.183999999999999,,4.5200000000000005,4.7904,6.720000000000001,1.784,3.9311999999999996,6.8,6.901960784313727,7.960199004800001,6.9064,,4.2,0.7843137254901962
84,CO,Aurora,4.871648528589107,18,5.5765,2,4.0698,4,4.34912,5,7.142139947278432,4,3.3144379084967324,3,5.6530000000000005,5.5,0.8,5.9368,5.3584000000000005,4.183999999999999,,4.5200000000000005,4.7904,6.720000000000001,1.784,3.9311999999999996,6.8,6.901960784313727,7.960199004800001,6.9064,4.9590000000000005,4.2,0.7843137254901962
125,CO,Colorado Springs,4.932926306366884,18,6.0095,2,4.0698,4,4.34912,5,7.142139947278432,4,3.3934379084967325,3,4.445,7.574,0.8,5.9368,5.3584000000000005,4.183999999999999,,4.5200000000000005,4.7904,6.720000000000001,1.784,3.9311999999999996,6.8,6.901960784313727,7.960199004800001,6.9064,5.196,4.2,0.7843137254901962
145,CO,Denve,4.905148528589106,18,5.7595,2,4.0698,4,4.34912,5,7.142139947278432,4,3.3934379084967325,3,4.445,7.074,0.8,5.9368,5.3584000000000005,4.183999999999999,,4.5200000000000005,4.7904,6.720000000000001,1.784,3.9311999999999996,6.8,6.901960784313727,7.960199004800001,6.9064,5.196,4.2,0.7843137254901962
76,CO,Denver,5.017092973033551,18,6.6135,2,4.0698,4,4.34912,5,7.142139947278432,4,3.4957712418300653,3,6.1530000000000005,7.074,0.8,5.9368,5.3584000000000005,4.183999999999999,,4.5200000000000005,4.7904,6.720000000000001,1.784,3.9311999999999996,6.8,6.901960784313727,7.960199004800001,6.9064,5.503,4.2,0.7843137254901962
7,CT,,5.4268679396990205,16,4.9208,1,4.4012,4,5.6833599999999995,5,7.015989405854902,4,3.9117647058823533,2,,4.9208,2.88,5.348,4.9208,4.456,,5.568,5.4992,7.840000000000001,4.36,5.1496,6.8,6.431372549019608,7.4029850744,7.429600000000001,,5.0,2.823529411764706
